Raid,Drops from,Item,URL,Warrior - Tank,Warrior - DPS,Druid - Feral,Druid - Balance,Druid - Resto,Hunter,Mage - Frost,Mage - Fire,Mage - Arcane,Warlock,Shaman - Enh,Shaman - Resto,Shaman - Ele,Paladin - Tank,Paladin - Holy,Paladin - Ret,Rogue,Priest - Holy,Priest - Shadow,Comment
Tempest Keep,Trash,Bands of the Celestial Archer,https://tbc.wowhead.com/item=30026,,,,,,2,,,,,2,,,,,3,,,,
Tempest Keep,Trash,Bark-Gloves of Ancient Wisdom,https://tbc.wowhead.com/item=30029,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No priority
Tempest Keep,Trash,Fire-Cord of the Magus,https://tbc.wowhead.com/item=30020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No priority
Tempest Keep,Trash,Girdle of Fallen Stars,https://tbc.wowhead.com/item=30030,,,,,,,,,,,,1,,,2,,,,,
Tempest Keep,Trash,Mantle of the Elven Kings,https://tbc.wowhead.com/item=30024,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No priority
Tempest Keep,Trash,Nether Vortex,https://tbc.wowhead.com/item=30183,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No priority
Tempest Keep,Trash,Seventh Ring of the Tirisfalen,https://tbc.wowhead.com/item=30028,,,,,,,,,,,,,,1,,,,,,
Tempest Keep,Al'ar,Arcanite Steam-Pistol,https://tbc.wowhead.com/item=29949,,,,,,1,,,,,,,,,,,2,,,
Tempest Keep,Al'ar,Band of Al'ar,https://tbc.wowhead.com/item=29922,,,,,,,,,,,,,,1,,,,,1,
Tempest Keep,Al'ar,Claw of the Phoenix,https://tbc.wowhead.com/item=29948,,,,,,1,,,,,,,,,,,,,,
Tempest Keep,Al'ar,Fire Crest Breastplate,https://tbc.wowhead.com/item=29921,,,,,,,,,,,,1,,,2,,,,,
Tempest Keep,Al'ar,Gloves of the Searing Grip,https://tbc.wowhead.com/item=29947,1,2,1,,,,,,,,,,,,,1,,,,
Tempest Keep,Al'ar,Mindstorm Wristbands,https://tbc.wowhead.com/item=29918,,,,1,,,1,1,1,1,,,1,,,,,,2,
Tempest Keep,Al'ar,Netherbane,https://tbc.wowhead.com/item=29924,,1,,,,2,,,,,1,,,,,,,,,
Tempest Keep,Al'ar,Phoenix-Ring of Rebirth,https://tbc.wowhead.com/item=29920,,,,,,,,,,,,1,,,1,,,,,
Tempest Keep,Al'ar,Phoenix-Wing Cloak,https://tbc.wowhead.com/item=29925,1,,1,,,,,,,,,,,1,,,,,,
Tempest Keep,Al'ar,Talisman of the Sun King,https://tbc.wowhead.com/item=29923,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No priority
Tempest Keep,Al'ar,Talon of Al'ar,https://tbc.wowhead.com/item=30448,,,,,,1,,,,,,,,,,,,,,
Tempest Keep,Al'ar,Talon of the Phoenix,https://tbc.wowhead.com/item=32944,,,,,,1,,,,,1,,,,,,,,,
Tempest Keep,Al'ar,Tome of Fiery Redemption,https://tbc.wowhead.com/item=30447,,,,,,,,,,,,,,1,,,,,,
Tempest Keep,Void Reaver,Cowl of the Grand Engineer,https://tbc.wowhead.com/item=29986,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No priority
Tempest Keep,Void Reaver,Fel Reaver's Piston,https://tbc.wowhead.com/item=30619,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No priority
Tempest Keep,Void Reaver,Fel-Steel Warhelm,https://tbc.wowhead.com/item=29983,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No priority
Tempest Keep,Void Reaver,Girdle of Zaetar,https://tbc.wowhead.com/item=29984,,,,,1,,,,,,,,,,,,,,,
Tempest Keep,Void Reaver,Pauldrons of the Vanquished Champion,https://tbc.wowhead.com/item=30248,,,,,,,,,,,3,1,3,2,1,3,1,,,
Tempest Keep,Void Reaver,Pauldrons of the Vanquished Defender,https://tbc.wowhead.com/item=30249,1,2,1,1,2,,,,,,,,,,,,,1,2,
Tempest Keep,Void Reaver,Pauldrons of the Vanquished Hero,https://tbc.wowhead.com/item=30250,,,,,,1,3,3,1,2,,,,,,,,,,
Tempest Keep,Void Reaver,Void Reaver Greaves,https://tbc.wowhead.com/item=29985,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No priority
Tempest Keep,Void Reaver,Warp-Spring Coil,https://tbc.wowhead.com/item=30450,,,,,,,,,,,,,,,,,1,,,
Tempest Keep,Void Reaver,Wristguards of Determination,https://tbc.wowhead.com/item=32515,2,,,,,,,,,,,,,,1,,,,,
Tempest Keep,Solarian,Boots of the Resilient,https://tbc.wowhead.com/item=32267,2,,,,,,,,,,,,,1,,,,,,
Tempest Keep,Solarian,Ethereum Life-Staff,https://tbc.wowhead.com/item=29981,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No priority
Tempest Keep,Solarian,Girdle of the Righteous Path,https://tbc.wowhead.com/item=29965,,,,,,,,,,,,,,,1,,,,,
Tempest Keep,Solarian,Greaves of the Bloodwarder,https://tbc.wowhead.com/item=29950,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No priority
Tempest Keep,Solarian,Heartrazor,https://tbc.wowhead.com/item=29962,,,,,,,,,,,,,,,,,1,,,
Tempest Keep,Solarian,Solarian's Sapphire,https://tbc.wowhead.com/item=30446,1,1,,,,,,,,,,,,,,,,,,
Tempest Keep,Solarian,Star-Soul Breeches,https://tbc.wowhead.com/item=29977,,,,,1,,,,,,,,,,,,,1,,
Tempest Keep,Solarian,Star-Strider Boots,https://tbc.wowhead.com/item=29951,,,,,,1,,,,,1,,,,,1,,,,
Tempest Keep,Solarian,Trousers of the Astromancer,https://tbc.wowhead.com/item=29972,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No priority
Tempest Keep,Solarian,Vambraces of Ending,https://tbc.wowhead.com/item=29966,,,1,,,1,,,,,2,,,,,,1,,,
Tempest Keep,Solarian,Void Star Talisman,https://tbc.wowhead.com/item=30449,,,,,,,,,,1,,,,,,,,,,
Tempest Keep,Solarian,Wand of the Forgotten Star,https://tbc.wowhead.com/item=29982,,,,,,,1,1,,1,,,,,,,,,2,
Tempest Keep,Solarian,Worldstorm Gauntlets,https://tbc.wowhead.com/item=29976,,,,,,,,,,,,1,,,,,,,,
Tempest Keep,Kael'thas,Ashes of Al'ar,https://tbc.wowhead.com/item=32458,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No priority
Tempest Keep,Kael'thas,Band of the Ranger-General,https://tbc.wowhead.com/item=29997,,1,3,,,1,,,,,1,,,,,2,2,,,
Tempest Keep,Kael'thas,Chestguard of the Vanquished Champion,https://tbc.wowhead.com/item=30236,,,,,,,,,,,1,2,2,3,2,4,4,,,
Tempest Keep,Kael'thas,Chestguard of the Vanquished Defender,https://tbc.wowhead.com/item=30237,1,4,2,3,4,,,,,,,,,,,,,4,3,
Tempest Keep,Kael'thas,Chestguard of the Vanquished Hero,https://tbc.wowhead.com/item=30238,,,,,,2,3,3,1,3,,,,,,,,,,
Tempest Keep,Kael'thas,Crown of the Sun,https://tbc.wowhead.com/item=29990,,,,,1,,,,,,,,,,,,,1,,
Tempest Keep,Kael'thas,Gauntlets of the Sun King,https://tbc.wowhead.com/item=29987,,,,,,,,,1,,,,,,,,,,,
Tempest Keep,Kael'thas,Leggings of Murderous Intent,https://tbc.wowhead.com/item=29995,,2,,,,1,,,,,,,,,,,,,,
Tempest Keep,Kael'thas,Rod of the Sun King,https://tbc.wowhead.com/item=29996,,2,,,,,,,,,,,1,,,,,,,
Tempest Keep,Kael'thas,Royal Cloak of the Sunstriders,https://tbc.wowhead.com/item=29992,,,,1,,,,1,1,1,,,,2,,,,,1,
Tempest Keep,Kael'thas,Royal Gauntlets of Silvermoon,https://tbc.wowhead.com/item=29998,1,,,,,,,,,,,,,2,,,,,,
Tempest Keep,Kael'thas,Sunhawk Leggings,https://tbc.wowhead.com/item=29991,,,,,,,,,,,,1,,,2,,,,,
Tempest Keep,Kael'thas,Sunshower Light Cloak,https://tbc.wowhead.com/item=29989,,,,,1,,,,,,,1,,,1,,,1,,
Tempest Keep,Kael'thas,Thalassian Wildercloak,https://tbc.wowhead.com/item=29994,,,2,,,1,,,,,2,,,,,,,,,
Tempest Keep,Kael'thas,The Nexus Key,https://tbc.wowhead.com/item=29988,,,,1,,,,,1,2,,,1,,,,,,2,
Tempest Keep,Kael'thas,Twinblade of the Phoenix,https://tbc.wowhead.com/item=29993,,1,,,,1,,,,,,,,,,1,,,,
Tempest Keep,Kael'thas,Verdant Sphere,https://tbc.wowhead.com/item=32405,,,,3,4,1,3,3,2,3,,4,2,1,4,,,4,,
Serpentshrine Cavern,Trash,Boots of Courage Unending,https://tbc.wowhead.com/item=30027,,,,,,,,,,,,,,,1,,,,,
Serpentshrine Cavern,Trash,Pendant of the Perilous,https://tbc.wowhead.com/item=30022,,1,,,,,,,,,2,,,,,1,,,,
Serpentshrine Cavern,Trash,Serpentshrine Shuriken,https://tbc.wowhead.com/item=30025,1,,,,,,,,,,,,,,,,,,,
Serpentshrine Cavern,Trash,Spyglass of the Hidden Fleet,https://tbc.wowhead.com/item=30620,1,,1,,,,,,,,,,,1,,,,,,
Serpentshrine Cavern,Trash,Totem of the Maelstrom,https://tbc.wowhead.com/item=30023,,,,,,,,,,,,1,,,,,,,,
Serpentshrine Cavern,Trash,Wildfury Greatstaff,https://tbc.wowhead.com/item=30021,,,1,,,,,,,,,,,,,,,,,
Serpentshrine Cavern,Hydross,Band of Vile Aggression,https://tbc.wowhead.com/item=33055,1,,1,,,,,,,,,,,,,,,,,
Serpentshrine Cavern,Hydross,Blackfathom Warbands,https://tbc.wowhead.com/item=30047,,,,,,,,,,,,2,,,1,,,,,
Serpentshrine Cavern,Hydross,Boots of the Shifting Nightmare,https://tbc.wowhead.com/item=30050,,,,,,,,,,1,,,,,,,,,2,
Serpentshrine Cavern,Hydross,Brighthelm of Justice,https://tbc.wowhead.com/item=30048,,,,,,,,,,,,,,,1,,,,,
Serpentshrine Cavern,Hydross,Fathomstone,https://tbc.wowhead.com/item=30049,,,,,,,,,,1,,,,,,,,,,
Serpentshrine Cavern,Hydross,Idol of the Crescent Goddess,https://tbc.wowhead.com/item=30051,,,,,1,,,,,,,,,,,,,,,
Serpentshrine Cavern,Hydross,Living Root of the Wildheart,https://tbc.wowhead.com/item=30664,,,1,1,1,,,,,,,,,,,,,,,
Serpentshrine Cavern,Hydross,Pauldrons of the Wardancer,https://tbc.wowhead.com/item=30053,,1,,,,,,,,,,,,,,2,,,,
Serpentshrine Cavern,Hydross,Ranger-General's Chestguard,https://tbc.wowhead.com/item=30054,,1,,,,,,,,,1,,,,,1,,,,
Serpentshrine Cavern,Hydross,Ring of Lethality,https://tbc.wowhead.com/item=30052,,,2,,,2,,,,,,,,,,,1,,,
Serpentshrine Cavern,Hydross,Robe of Hateful Echoes,https://tbc.wowhead.com/item=30056,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No priority
Serpentshrine Cavern,Hydross,Scarab of Displacement,https://tbc.wowhead.com/item=30629,1,,1,,,,,,,,,,,1,,,,,,
Serpentshrine Cavern,Hydross,Shoulderpads of the Stranger,https://tbc.wowhead.com/item=30055,,2,4,,,,,,,,1,,,,,1,3,,,
Serpentshrine Cavern,Hydross,Wraps of Purification,https://tbc.wowhead.com/item=32516,,,,,2,,,,,,,3,,,4,,,1,,
Serpentshrine Cavern,Lurker Below,Ancestral Ring of Conquest,https://tbc.wowhead.com/item=30061,2,1,1,,,,,,,,,,,,,1,,,,
Serpentshrine Cavern,Lurker Below,Boots of Effortless Striking,https://tbc.wowhead.com/item=30060,,,1,,,,,,,,,,,,,,1,,,
Serpentshrine Cavern,Lurker Below,Bracers of Eradication,https://tbc.wowhead.com/item=30057,,1,,,,,,,,,,,,,,1,,,,
Serpentshrine Cavern,Lurker Below,Choker of Animalistic Fury,https://tbc.wowhead.com/item=30059,,1,,,,2,,,,,,,,,,,,,,
Serpentshrine Cavern,Lurker Below,Cord of Screaming Terrors,https://tbc.wowhead.com/item=30064,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No priority
Serpentshrine Cavern,Lurker Below,Earring of Soulful Meditation,https://tbc.wowhead.com/item=30665,,,,,,,,,,,,,,,,,,1,,
Serpentshrine Cavern,Lurker Below,Glowing Breastplate of Truth,https://tbc.wowhead.com/item=30065,,,,,,,,,,,,,,,1,,,,,
Serpentshrine Cavern,Lurker Below,Grove-Bands of Remulos,https://tbc.wowhead.com/item=30062,,,,,1,,,,,,,,,,,,,,,
Serpentshrine Cavern,Lurker Below,Libram of Absolute Truth,https://tbc.wowhead.com/item=30063,,,,,,,,,,,,,,,1,,,,,
Serpentshrine Cavern,Lurker Below,Mallet of the Tides,https://tbc.wowhead.com/item=30058,1,,,,,,,,,,,,,,,,,,,
Serpentshrine Cavern,Lurker Below,Tempest-Strider Boots,https://tbc.wowhead.com/item=30066,,,,,,,,,,,,1,,,2,,,,,
Serpentshrine Cavern,Lurker Below,The Seal of Danzalar,https://tbc.wowhead.com/item=33054,,,,,,,,,,,,,,1,,,,,,
Serpentshrine Cavern,Lurker Below,Velvet Boots of the Guardian,https://tbc.wowhead.com/item=30067,,,,2,,,,,1,,,,2,,,,,,,
Serpentshrine Cavern,Leotheras,Coral-Barbed Shoulderpads,https://tbc.wowhead.com/item=30097,,,,,,,,,,,,1,,,2,,,,,
Serpentshrine Cavern,Leotheras,Fang of the Leviathan,https://tbc.wowhead.com/item=30095,,,,,,,1,1,,1,,,,1,,,,,,
Serpentshrine Cavern,Leotheras,Girdle of the Invulnerable,https://tbc.wowhead.com/item=30096,1,,,,,,,,,,,,,2,,,,,,
Serpentshrine Cavern,Leotheras,Gloves of the Vanquished Champion,https://tbc.wowhead.com/item=30239,,,,,,,,,,,2,3,3,1,3,3,1,,,
Serpentshrine Cavern,Leotheras,Gloves of the Vanquished Defender,https://tbc.wowhead.com/item=30240,2,3,1,2,2,,,,,,,,,,,,,1,2,
Serpentshrine Cavern,Leotheras,Gloves of the Vanquished Hero,https://tbc.wowhead.com/item=30241,,,,,,1,3,3,1,3,,,,,,,,,,
Serpentshrine Cavern,Leotheras,Orca-Hide Boots,https://tbc.wowhead.com/item=30092,,,,,1,,,,,,,2,,,3,,,,,
Serpentshrine Cavern,Leotheras,True-Aim Stalker Bands,https://tbc.wowhead.com/item=30091,,,,,,3,,,,,1,,,,,,,,,
Serpentshrine Cavern,Leotheras,Tsunami Talisman,https://tbc.wowhead.com/item=30627,,1,1,,,2,,,,,2,,,,,2,3,,,
Serpentshrine Cavern,Karathress,Bloodsea Brigand's Vest,https://tbc.wowhead.com/item=30101,,1,,,,,,,,,,,,,,,1,,,
Serpentshrine Cavern,Karathress,Fathom-Brooch of the Tidewalker,https://tbc.wowhead.com/item=30663,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No priority
Serpentshrine Cavern,Karathress,Frayed Tether of the Drowned,https://tbc.wowhead.com/item=30099,1,,,,,,,,,,,,,,,,,,,
Serpentshrine Cavern,Karathress,Leggings of the Vanquished Champion,https://tbc.wowhead.com/item=30245,,,,,,,,,,,2,3,1,1,2,4,1,,,
Serpentshrine Cavern,Karathress,Leggings of the Vanquished Defender,https://tbc.wowhead.com/item=30246,2,3,1,3,3,,,,,,,,,,,,,1,2,
Serpentshrine Cavern,Karathress,Leggings of the Vanquished Hero,https://tbc.wowhead.com/item=30247,,,,,,1,2,2,1,1,,,,,,,,,,
Serpentshrine Cavern,Karathress,Sextant of Unstable Currents,https://tbc.wowhead.com/item=30626,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No priority
Serpentshrine Cavern,Karathress,Soul-Strider Boots,https://tbc.wowhead.com/item=30100,,,,,2,,,,,,,,,,,,,1,,
Serpentshrine Cavern,Karathress,World Breaker,https://tbc.wowhead.com/item=30090,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No priority
Serpentshrine Cavern,Morogrim,Band of the Vigilant,https://tbc.wowhead.com/item=33058,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No priority
Serpentshrine Cavern,Morogrim,Girdle of the Tidal Call,https://tbc.wowhead.com/item=30068,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No priority
Serpentshrine Cavern,Morogrim,Gnarled Chestpiece of the Ancients,https://tbc.wowhead.com/item=30075,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No priority
Serpentshrine Cavern,Morogrim,Illidari Shoulderpads,https://tbc.wowhead.com/item=30079,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No priority
Serpentshrine Cavern,Morogrim,Luminescent Rod of the Naaru,https://tbc.wowhead.com/item=30080,,,,,,,,,,,,,,,,,,1,,
Serpentshrine Cavern,Morogrim,Mantle of the Tireless Tracker,https://tbc.wowhead.com/item=30085,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No priority
Serpentshrine Cavern,Morogrim,Pauldrons of the Argent Sentinel,https://tbc.wowhead.com/item=30084,,,,,,,,,,,,,,,,1,,,,
Serpentshrine Cavern,Morogrim,Pendant of the Lost Ages,https://tbc.wowhead.com/item=30008,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No priority
Serpentshrine Cavern,Morogrim,Razor-Scale Battlecloak,https://tbc.wowhead.com/item=30098,,2,2,,,,,,,,2,,,,,1,,,,
Serpentshrine Cavern,Morogrim,Ring of Sundered Souls,https://tbc.wowhead.com/item=30083,1,,,,,,,,,,,,,,,,,,,
Serpentshrine Cavern,Morogrim,Serpent-Coil Braid,https://tbc.wowhead.com/item=30720,,,,,,,3,2,1,,,,,,,,,,,
Serpentshrine Cavern,Morogrim,Talon of Azshara,https://tbc.wowhead.com/item=30082,,2,,,,,,,,,,,,,,,1,,,
Serpentshrine Cavern,Morogrim,Warboots of Obliteration,https://tbc.wowhead.com/item=30081,,1,,,,,,,,,,,,,,,2,,,
Serpentshrine Cavern,Lady Vashj,Belt of One-Hundred Deaths,https://tbc.wowhead.com/item=30106,2,3,2,,,2,,,,,1,,,,,1,2,,,
Serpentshrine Cavern,Lady Vashj,Cobra-Lash Boots,https://tbc.wowhead.com/item=30104,,,,,,1,,,,,2,,,,,2,,,,
Serpentshrine Cavern,Lady Vashj,Coral Band of the Revived,https://tbc.wowhead.com/item=30110,,,,,1,,,,,,,2,,,2,,,1,,
